x,y,z
1123064.86511,1778606.83283,1.0928684473
1123064.86511,1778596.83283,1.69415736198
1123074.86511,1778596.83283,1.8008941412
1123074.86511,1778606.83283,1.29683876038
1123084.86511,1778596.83283,1.6651417017
1123084.86511,1778606.83283,1.14958143234
1123094.86511,1778596.83283,1.2258669138
1123094.86511,1778606.83283,0.394318461418
1123054.86511,1778596.83283,1.26852071285
1123054.86511,1778586.83283,1.81235337257
1123064.86511,1778586.83283,2.10438990593
1123074.86511,1778586.83283,2.16447663307
1123084.86511,1778586.83283,2.02139806747
1123094.86511,1778586.83283,1.64110445976
1123044.86511,1778586.83283,1.11556994915
1123044.86511,1778576.83283,1.71560311317
1123054.86511,1778576.83283,2.20758843422
1123064.86511,1778576.83283,2.42551970482
1123074.86511,1778576.83283,2.44954490662
1123084.86511,1778576.83283,2.29366087914
1123094.86511,1778576.83283,1.93383395672
1123104.86511,1778576.83283,1.21919286251
1123104.86511,1778586.83283,0.752056121826
1123034.86511,1778576.83283,0.334123969078
1123034.86511,1778566.83283,1.36059951782
1123044.86511,1778566.83283,2.13983607292
1123054.86511,1778566.83283,2.52601504326
1123064.86511,1778566.83283,2.69105195999
1123074.86511,1778566.83283,2.68333029747
1123084.86511,1778566.83283,2.51279520988
1123094.86511,1778566.83283,2.15297818184
1123104.86511,1778566.83283,1.49936068058
1123034.86511,1778556.83283,1.88399815559
1123044.86511,1778556.83283,2.48145914078
1123054.86511,1778556.83283,2.79513406754
1123064.86511,1778556.83283,2.91798949242
1123074.86511,1778556.83283,2.88079214096
1123084.86511,1778556.83283,2.69133281708
1123094.86511,1778556.83283,2.32354402542
1123104.86511,1778556.83283,1.68788170815
1123024.86511,1778556.83283,0.169931665063
1123024.86511,1778546.83283,1.34777569771
1123034.86511,1778546.83283,2.28249049187
1123044.86511,1778546.83283,2.77154636383
1123054.86511,1778546.83283,3.02926492691
1123064.86511,1778546.83283,3.11357784271
1123074.86511,1778546.83283,3.05006980896
1123084.86511,1778546.83283,2.83796739578
1123094.86511,1778546.83283,2.45492911339
1123104.86511,1778546.83283,1.81489491463
1123024.86511,1778536.83283,1.88796544075
1123034.86511,1778536.83283,2.61506223679
1123044.86511,1778536.83283,3.02619600296
1123054.86511,1778536.83283,3.2351193428
1123064.86511,1778536.83283,3.28478002548
1123074.86511,1778536.83283,3.19454479218
1123084.86511,1778536.83283,2.95943260193
1123094.86511,1778536.83283,2.55541968346
1123104.86511,1778536.83283,1.89302623272
1123024.86511,1778526.83283,2.29989886284
1123034.86511,1778526.83283,2.90505099297
1123044.86511,1778526.83283,3.25359249115
1123054.86511,1778526.83283,3.41832852364
1123064.86511,1778526.83283,3.43439102173
1123074.86511,1778526.83283,3.31606769562
1123084.86511,1778526.83283,3.05845022202
1123094.86511,1778526.83283,2.62800884247
1123104.86511,1778526.83283,1.92469000816
1123014.86511,1778526.83283,1.12210416794
1123014.86511,1778516.83283,1.7635653019
1123024.86511,1778516.83283,2.64459061623
1123034.86511,1778516.83283,3.16349029541
1123044.86511,1778516.83283,3.45651650429
1123054.86511,1778516.83283,3.57966780663
1123064.86511,1778516.83283,3.56241321564
1123074.86511,1778516.83283,3.41754794121
1123084.86511,1778516.83283,3.13595843315
1123094.86511,1778516.83283,2.67633962631
1123104.86511,1778516.83283,1.91316974163
1123014.86511,1778506.83283,2.21264243126
1123024.86511,1778506.83283,2.9472413063
1123034.86511,1778506.83283,3.39452672005
1123044.86511,1778506.83283,3.63587522507
1123054.86511,1778506.83283,3.71988296509
1123064.86511,1778506.83283,3.66946029663
1123074.86511,1778506.83283,3.49694943428
1123084.86511,1778506.83283,3.19088077545
1123094.86511,1778506.83283,2.69884800911
1123104.86511,1778506.83283,1.84765863419
1123004.86511,1778506.83283,0.159111425281
1123004.86511,1778496.83283,1.48884081841
1123014.86511,1778496.83283,2.57698011398
1123024.86511,1778496.83283,3.21456027031
1123034.86511,1778496.83283,3.59885168076
1123044.86511,1778496.83283,3.79296517372
1123054.86511,1778496.83283,3.83774900436
1123064.86511,1778496.83283,3.75424456596
1123074.86511,1778496.83283,3.55321526527
1123084.86511,1778496.83283,3.22011637688
1123094.86511,1778496.83283,2.68643403053
1123104.86511,1778496.83283,1.69617211819
1123004.86511,1778486.83283,2.02197122574
1123014.86511,1778486.83283,2.89156293869
1123024.86511,1778486.83283,3.45033168793
1123034.86511,1778486.83283,3.77632951736
1123044.86511,1778486.83283,3.92648077011
1123054.86511,1778486.83283,3.93351101875
1123064.86511,1778486.83283,3.81797504425
1123074.86511,1778486.83283,3.58447194099
1123084.86511,1778486.83283,3.21582365036
1123094.86511,1778486.83283,2.61724853516
1123104.86511,1778486.83283,1.39978325367
1123004.86511,1778476.83283,2.41759324074
1123014.86511,1778476.83283,3.16717433929
1123024.86511,1778476.83283,3.65366268158
1123034.86511,1778476.83283,3.92724585533
1123044.86511,1778476.83283,4.03709363937
1123054.86511,1778476.83283,4.00925588608
1123064.86511,1778476.83283,3.85939240456
1123074.86511,1778476.83283,3.58908176422
1123084.86511,1778476.83283,3.16171646118
1123094.86511,1778476.83283,2.42429327965
1123104.86511,1778476.83283,1.00400435925
1122994.86511,1778476.83283,0.622994482517
1122994.86511,1778466.83283,1.74424421787
1123004.86511,1778466.83283,2.74680280685
1123014.86511,1778466.83283,3.40398621559
1123024.86511,1778466.83283,3.82356119156
1123034.86511,1778466.83283,4.05150127411
1123044.86511,1778466.83283,4.12363958359
1123054.86511,1778466.83283,4.06338644028
1123064.86511,1778466.83283,3.87944698334
1123074.86511,1778466.83283,3.56479859352
1123084.86511,1778466.83283,3.02391862869
1123094.86511,1778466.83283,2.13454890251
1123104.86511,1778466.83283,0.718103289604
1122994.86511,1778456.83283,2.2259042263
1123004.86511,1778456.83283,3.03093600273
1123014.86511,1778456.83283,3.59910178185
1123024.86511,1778456.83283,3.96018314362
1123034.86511,1778456.83283,4.14847564697
1123044.86511,1778456.83283,4.18895483017
1123054.86511,1778456.83283,4.09673690796
1123064.86511,1778456.83283,3.88034462929
1123074.86511,1778456.83283,3.51004624367
1123084.86511,1778456.83283,2.76738119125
1123094.86511,1778456.83283,1.94145858288
1123104.86511,1778456.83283,0.577156543732
1122994.86511,1778446.83283,2.58848309517
1123004.86511,1778446.83283,3.26554059982
1123014.86511,1778446.83283,3.75375819206
1123024.86511,1778446.83283,4.06491184235
1123034.86511,1778446.83283,4.21809959412
1123044.86511,1778446.83283,4.2282075882
1123054.86511,1778446.83283,4.10939836502
1123064.86511,1778446.83283,3.86414432526
1123074.86511,1778446.83283,3.42126536369
1123084.86511,1778446.83283,2.54052257538
1123094.86511,1778446.83283,1.84168589115
1123104.86511,1778446.83283,0.557056665421
1122984.86511,1778446.83283,1.50926995277
1122984.86511,1778436.83283,2.12411475182
1122994.86511,1778436.83283,2.87752580643
1123004.86511,1778436.83283,3.44744443893
1123014.86511,1778436.83283,3.86828494072
1123024.86511,1778436.83283,4.13791561127
1123034.86511,1778436.83283,4.25975322723
1123044.86511,1778436.83283,4.24303627014
1123054.86511,1778436.83283,4.10295820236
1123064.86511,1778436.83283,3.83539485931
1123074.86511,1778436.83283,3.30942845345
1123084.86511,1778436.83283,2.4173822403
1123094.86511,1778436.83283,1.79053854942
1123104.86511,1778436.83283,0.566293537617
1122974.86511,1778436.83283,1.12696027756
1122974.86511,1778426.83283,1.81789720058
1122984.86511,1778426.83283,2.51280021667
1122994.86511,1778426.83283,3.10189700127
1123004.86511,1778426.83283,3.58132314682
1123014.86511,1778426.83283,3.94524693489
1123024.86511,1778426.83283,4.17660331726
1123034.86511,1778426.83283,4.26981163025
1123044.86511,1778426.83283,4.23144245148
1123054.86511,1778426.83283,4.0756444931
1123064.86511,1778426.83283,3.79732680321
1123074.86511,1778426.83283,3.20908045769
1123084.86511,1778426.83283,2.36005187035
1123094.86511,1778426.83283,1.77474403381
1123104.86511,1778426.83283,0.539489805698
1122964.86511,1778426.83283,1.15577852726
1122964.86511,1778416.83283,1.73746442795
1122974.86511,1778416.83283,2.26056551933
1122984.86511,1778416.83283,2.79001688957
1122994.86511,1778416.83283,3.26463794708
1123004.86511,1778416.83283,3.66977548599
1123014.86511,1778416.83283,3.98298692703
1123024.86511,1778416.83283,4.17830657959
1123034.86511,1778416.83283,4.24432325363
1123044.86511,1778416.83283,4.18814849854
1123054.86511,1778416.83283,4.02626848221
1123064.86511,1778416.83283,3.75261354446
1123074.86511,1778416.83283,3.16556620598
1123084.86511,1778416.83283,2.35237145424
1123094.86511,1778416.83283,5.60779905319
1123104.86511,1778416.83283,0.465207546949
1123144.86511,1778426.83283,0.780560135841
1123144.86511,1778416.83283,1.45908439159
1123154.86511,1778416.83283,1.61656808853
1123154.86511,1778426.83283,0.914227545261
1123164.86511,1778416.83283,1.65201795101
1123164.86511,1778426.83283,0.699050962925
1123174.86511,1778416.83283,1.69689071178
1123174.86511,1778426.83283,0.279811531305
1123204.86511,1778426.83283,1.00666475296
1123204.86511,1778416.83283,3.32577824593
1123214.86511,1778416.83283,3.40993785858
1123214.86511,1778426.83283,1.34548020363
1123224.86511,1778416.83283,3.1371281147
1123224.86511,1778426.83283,1.35164487362
1123234.86511,1778416.83283,2.82135677338
1123234.86511,1778426.83283,0.779661536217
1122954.86511,1778416.83283,1.14701068401
1122954.86511,1778406.83283,1.63571131229
1122964.86511,1778406.83283,2.12595534325
1122974.86511,1778406.83283,2.56407642365
1122984.86511,1778406.83283,2.98662996292
1122994.86511,1778406.83283,3.37568664551
1123004.86511,1778406.83283,3.71338486671
1123014.86511,1778406.83283,3.97514510155
1123024.86511,1778406.83283,6.25323534012
1123034.86511,1778406.83283,4.17485809326
1123044.86511,1778406.83283,4.1074180603
1123054.86511,1778406.83283,3.9516017437
1123064.86511,1778406.83283,3.70496559143
1123074.86511,1778406.83283,3.20256304741
1123084.86511,1778406.83283,2.39516329765
1123094.86511,1778406.83283,5.75495004654
1123104.86511,1778406.83283,4.42952680588
1123134.86511,1778416.83283,0.956687033176
1123134.86511,1778406.83283,1.50968301296
1123144.86511,1778406.83283,1.84509325027
1123154.86511,1778406.83283,2.07314538956
1123164.86511,1778406.83283,2.36675143242
1123174.86511,1778406.83283,3.09784317017
1123184.86511,1778406.83283,3.54420351982
1123184.86511,1778416.83283,2.8366189003
1123194.86511,1778406.83283,3.86645007133
1123194.86511,1778416.83283,3.14446735382
1123204.86511,1778406.83283,4.28258514404
1123214.86511,1778406.83283,4.4622926712
1123224.86511,1778406.83283,4.21746063232
1123234.86511,1778406.83283,3.73324990273
1123244.86511,1778406.83283,3.24685120583
1123244.86511,1778416.83283,2.271941185
