x,y,z
1123200.68325,1777886.25521,3838.55455648
1123199.115,1777890.7145,3838.55103392
1123197.58231,1777882.00728,3838.57370869
1123059.01546,1777917.14194,3837.12930165
1123057.43091,1777922.11149,3837.14127738
1123056.06236,1777917.68919,3837.11872101
1123060.70619,1777913.78963,3837.11144626
1123062.13824,1777917.80255,3837.14234742
1123060.20018,1777921.1443,3837.15117154
1123057.37418,1777913.51281,3837.09891842
1123057.36494,1777903.95035,3836.997849
1123057.41125,1777908.99674,3837.05190764
1123055.82624,1777906.17464,3837.02674777
1123054.29323,1777903.3699,3836.99882698
1123060.44168,1777903.56427,3837.00199952
1123058.97605,1777906.69104,3837.01900174
1123055.80547,1777900.07843,3836.96697804
1123058.96493,1777900.08168,3836.9687529
1123161.34354,1778002.2095,3837.92496572
1123159.37234,1777998.7708,3837.93720934
1123161.45387,1777996.98575,3837.97461106
1123162.91953,1778000.0854,3837.95984266
1123164.21287,1778002.79139,3837.94556101
1123163.36002,1778005.55627,3837.91135256
1123161.27191,1778007.28691,3837.87341086
1123159.76973,1778004.23285,3837.88841961
1123158.51131,1778001.51972,3837.90111301
1123192.84845,1777886.45439,3838.57589729
1123191.27357,1777890.94388,3838.56962947
1123189.69289,1777886.44004,3838.57787394
1123191.2686,1777881.96213,3838.5836068
1123194.42286,1777881.97601,3838.58063688
1123194.43418,1777890.97772,3838.56472799
1123219.75695,1777787.61885,3838.27377509
1123219.53112,1777792.94774,3838.31280027
1123217.69503,1777789.15347,3838.29966204
1123218.01273,1777783.97616,3838.25778463
1123221.27311,1777784.3018,3838.23594646
1123216.58839,1777792.58478,3838.33048087
1123216.14154,1777798.05507,3838.36749852
1123214.89128,1777795.20285,3838.35723759
1123213.27822,1777792.48682,3838.34700446
1123214.78795,1777788.45046,3838.31107793
1123217.97541,1777796.9028,3838.34884699
1122801.79684,1778256.06124,3842.55161523
1122800.67793,1778251.65896,3842.53568496
1122802.97124,1778251.65938,3842.57220612
1122803.12431,1778260.56837,3842.56571174
1122800.80729,1778260.41479,3842.52795928
1122799.37198,1778255.12523,3842.50962757
1122802.12179,1778264.8207,3842.53857992
1122803.6834,1778269.58504,3842.54514345
1122801.04893,1778268.37457,3842.50358602
1122799.99615,1778265.02286,3842.49797607
1122952.96921,1778376.97018,3840.07085744
1122951.21934,1778372.74339,3840.07379069
1122953.52685,1778372.12862,3840.13272444
1122955.06545,1778376.5023,3840.12319972
1122954.96137,1778381.08459,3840.07219704
1122952.988,1778382.09675,3840.01363749
1122951.88276,1778378.5083,3840.02804638
1122950.68174,1778375.41389,3840.03258499
1123075.95069,1778326.35218,3840.56106126
1123075.87532,1778331.23638,3840.60552083
1123074.01562,1778331.22242,3840.54882588
1123073.8774,1778328.40027,3840.51717378
1123075.38531,1778323.85452,3840.51827031
1123077.10924,1778322.93128,3840.56322181
1123077.34915,1778326.64304,3840.60746418
1123023.07188,1778308.87827,3835.61010978
1123021.05868,1778310.25705,3835.63910358
1123021.24354,1778305.05007,3835.59062101
1123023.95314,1778306.06314,3835.57448555
1123025.90282,1778309.56938,3835.58618755
1123024.32822,1778311.64137,3835.62196503
1123022.77958,1778313.9373,3835.65505529
1122995.78505,1778073.47964,3833.6485465
1122996.03525,1778073.72946,3833.71223011
1122995.75443,1778078.12411,3833.64969282
1122996.12941,1778069.30915,3833.64251934
1122995.50572,1778073.72762,3833.57804214
